Date,Open,High,Low,Close,Volume
2019-01-02,134.130005,137.748993,133.029999,136.699997,16708400
2019-01-03,134.270004,134.869995,129.830002,130.600006,19531300
2019-01-04,134.259995,141.080002,133.660004,139.75,22845400
2019-01-07,140.550003,144.080002,139.009995,143.100006,17239000
2019-01-08,145.0,147.550003,142.059998,146.789993,16487600
2019-01-09,149.889999,153.350006,148.5,151.919998,20214100
2019-01-10,149.809998,152.029999,148.880005,151.690002,14221100
2019-01-11,151.830002,153.380005,150.139999,151.320007,9589400
2019-01-14,148.5,150.570007,146.539993,149.270004,13356700
2019-01-15,150.679993,154.169998,149.964005,150.880005,15003100
2019-01-16,152.809998,155.389999,151.5,154.839996,14810800
2019-01-17,152.110001,158.550003,151.899994,155.970001,16153200
2019-01-18,158.449997,159.490005,154.729996,157.020004,19611400
2019-01-22,154.399994,155.440002,150.207001,152.149994,21295000
2019-01-23,154.649994,155.179993,150.949997,152.029999,10195800
2019-01-24,151.470001,156.0,151.210007,155.860001,10997900
2019-01-25,158.910004,160.5,157.429993,159.210007,16451800
2019-01-28,157.800003,159.690002,155.300003,158.919998,10141100
2019-01-29,159.039993,160.375,155.919998,156.880005,18348200
2019-01-30,161.289993,167.839996,160.5,166.820007,36997700
2019-01-31,167.800003,169.729996,165.699997,168.490005,21219500
2019-02-01,168.0,169.399994,167.630005,167.970001,10771500
2019-02-04,166.320007,167.550003,165.610001,166.699997,7380400
2019-02-05,168.550003,171.949997,168.0,171.830002,12801800
2019-02-06,171.860001,173.089996,169.990005,171.520004,11267800
2019-02-07,169.160004,169.610001,164.335999,166.960007,11911100
2019-02-08,163.830002,167.649994,163.75,167.360001,8331500
2019-02-11,168.850006,170.330002,167.449997,167.449997,7260300
2019-02-12,169.600006,170.490005,168.610001,168.710007,8594400
2019-02-13,169.910004,171.050003,168.990005,169.399994,8661800
2019-02-14,167.639999,168.5,166.610001,168.380005,8722100
2019-02-15,168.610001,168.770004,165.410004,166.149994,12099500
2019-02-19,166.979996,171.149994,166.5,170.179993,12982300
2019-02-20,171.0,172.679993,170.610001,170.710007,12454900
2019-02-21,171.0,171.779999,169.800003,171.660004,8434800
2019-02-22,172.800003,177.020004,172.520004,176.919998,16175600
2019-02-25,181.259995,183.720001,180.729996,183.25,22831800
2019-02-26,179.789993,184.350006,179.369995,183.539993,13871000
2019-02-27,181.720001,184.929993,180.880005,184.580002,16741600
2019-02-28,183.009995,184.300003,181.470001,183.029999,12370400
2019-03-01,185.089996,186.899994,183.380005,183.880005,14348500
2019-03-04,186.0,187.339996,184.460007,187.25,14761700
2019-03-05,186.940002,188.080002,185.0,185.0,11513200
2019-03-06,184.380005,185.589996,183.020004,184.169998,10009100
2019-03-07,180.910004,181.800003,176.729996,177.320007,16488900
2019-03-08,171.565002,175.350006,171.565002,175.029999,14674200
2019-03-11,177.830002,181.720001,177.580002,180.410004,13764000
2019-03-12,182.039993,182.179993,179.509995,180.630005,8660000
2019-03-13,180.729996,182.535004,179.259995,180.699997,8868200
2019-03-14,179.059998,180.820007,178.009995,180.360001,9272000
2019-03-15,180.660004,181.449997,179.660004,180.970001,10844100
2019-03-18,181.929993,182.889999,180.759995,181.830002,7847800
2019-03-19,181.630005,183.360001,180.850006,182.139999,10238600
2019-03-20,180.940002,181.949997,178.429993,181.279999,15901500
2019-03-21,178.949997,181.729996,178.520004,181.5,9754500
2019-03-22,179.770004,180.479996,175.335999,176.259995,11688400
2019-03-25,174.330002,178.899994,174.100006,178.770004,7511400
2019-03-26,179.699997,180.649994,177.095001,178.080002,7897900
2019-03-27,177.699997,179.830002,176.912994,177.029999,8371000
2019-03-28,177.470001,178.529999,175.970001,177.729996,7233000
2019-03-29,180.729996,182.600006,179.0,182.449997,13850900
2019-04-01,185.089996,185.559998,180.889999,180.889999,12714800
2019-04-02,181.460007,183.563004,180.949997,181.740005,8021500
2019-04-03,179.509995,180.699997,176.759995,178.320007,26819000
2019-04-04,177.039993,181.960007,176.889999,181.070007,16993200
2019-04-05,182.509995,185.5,182.0,185.350006,18705000
2019-04-08,184.190002,187.820007,184.009995,186.5,14725600
2019-04-09,186.490005,187.889999,186.160004,187.190002,11578200
2019-04-10,186.690002,187.399994,184.0,186.190002,10655000
2019-04-11,185.149994,186.059998,183.75,184.979996,8900300
2019-04-12,187.710007,189.789993,187.139999,188.910004,12600000
2019-04-15,188.059998,188.169998,182.559998,183.070007,14616600
2019-04-16,185.550003,185.789993,183.399994,185.779999,12195900
2019-04-17,187.339996,188.199997,185.779999,187.550003,11614200
2019-04-18,186.410004,187.279999,185.389999,186.940002,7882500
2019-04-22,184.5,186.470001,183.610001,185.380005,8677800
2019-04-23,186.0,188.149994,185.440002,187.289993,11410600
2019-04-24,186.759995,186.899994,184.580002,185.669998,9085300
2019-04-25,185.240005,188.130005,183.955002,187.880005,10328900
2019-04-26,187.880005,188.740005,185.509995,187.089996,9421100
2019-04-29,187.419998,188.0,185.759995,186.940002,8660600
2019-04-30,186.300003,188.25,183.820007,185.570007,15076500
2019-05-01,186.75,193.195007,185.880005,189.309998,17397500
2019-05-02,189.419998,192.699997,186.649994,190.389999,11468100
2019-05-03,191.880005,195.720001,191.880005,195.210007,14521100
2019-05-06,185.169998,189.0,184.830002,188.240005,23941200
2019-05-07,186.050003,186.449997,179.630005,181.429993,22663200
2019-05-08,180.949997,183.199997,178.580002,179.589996,16611100
2019-05-09,175.429993,180.695007,173.070007,179.039993,22727800
2019-05-10,180.179993,180.789993,174.100006,178.0,18987000
2019-05-13,169.789993,172.470001,168.779999,170.009995,22330700
2019-05-14,172.75,175.149994,171.479996,174.839996,17874100
2019-05-15,177.059998,180.240005,173.320999,177.600006,37610400
2019-05-16,178.179993,178.25,174.75,175.570007,20579200
2019-05-17,171.690002,172.289993,168.490005,169.570007,22539400
2019-05-20,164.440002,164.570007,160.020004,160.649994,33413800
2019-05-21,163.160004,165.589996,162.520004,163.429993,22006100
2019-05-22,162.410004,162.820007,158.070007,158.830002,25831200
2019-05-23,155.449997,158.479996,154.410004,156.0,26891900
2019-05-24,157.615005,158.429993,154.899994,155.0,21489700
2019-05-28,156.399994,157.070007,153.220001,154.809998,38603000
2019-05-29,153.580002,154.384995,150.710007,152.479996,30073100
2019-05-30,152.360001,153.369995,150.25,151.070007,17344700
2019-05-31,149.630005,150.679993,147.949997,149.259995,26881200
2019-06-03,149.600006,151.770004,148.845001,149.910004,25254400
2019-06-04,151.559998,155.199997,150.639999,154.149994,27417200
2019-06-05,155.169998,156.110001,149.309998,151.649994,23208600
2019-06-06,152.0,152.699997,150.570007,151.5,15763000
2019-06-07,152.949997,155.690002,152.214005,154.229996,17817800
2019-06-10,158.779999,161.979996,157.399994,159.850006,36473300
2019-06-11,164.199997,165.679993,161.925003,162.649994,23408400
2019-06-12,160.470001,161.699997,158.809998,160.039993,16312300
2019-06-13,160.550003,161.320007,159.800003,160.330002,17571400
2019-06-14,158.369995,158.710007,157.229996,158.100006,14981600
2019-06-17,157.529999,160.550003,157.419998,159.910004,16079800
2019-06-18,162.889999,169.110001,161.949997,165.509995,35754800
2019-06-19,167.770004,167.899994,163.419998,165.460007,20798100
2019-06-20,170.190002,170.479996,166.274994,168.25,24004700
2019-06-21,167.479996,169.470993,166.770004,167.550003,17415800
2019-06-24,168.399994,168.880005,165.779999,168.100006,18422600
2019-06-25,167.039993,167.339996,164.619995,165.800003,20439200
2019-06-26,168.279999,171.240005,168.149994,168.990005,22416400
2019-06-27,170.619995,171.979996,169.380005,170.899994,18349400
2019-06-28,170.199997,170.889999,167.960007,169.449997,19974300
2019-07-01,175.865005,177.949997,174.360001,175.050003,25911000
2019-07-02,175.130005,175.550003,174.25,175.449997,14155200
2019-07-03,175.690002,175.850006,173.850006,174.669998,8532600
2019-07-05,173.75,173.820007,172.820007,173.300003,12618600
2019-07-08,170.089996,170.279999,168.350006,168.449997,16531000
2019-07-09,167.085007,168.979996,166.5,168.800003,15782800
2019-07-10,171.240005,171.369995,166.860001,166.929993,16675600
2019-07-11,167.559998,168.423996,165.0,166.550003,14796400
2019-07-12,168.0,170.199997,167.649994,169.070007,18103600
2019-07-15,171.5,173.75,170.419998,173.5,22199000
2019-07-16,174.199997,175.520004,173.460007,174.190002,19039700
2019-07-17,172.75,176.220001,172.490005,174.820007,15031600
2019-07-18,173.410004,174.399994,172.059998,172.800003,15613200
2019-07-19,174.869995,175.149994,172.990005,172.990005,13647200
2019-07-22,173.5,174.279999,171.436996,174.0,18490900
2019-07-23,175.389999,178.639999,174.845001,178.089996,20881500
2019-07-24,178.0,178.960007,176.938004,178.669998,14933100
2019-07-25,178.490005,179.149994,175.369003,177.289993,14049000
2019-07-26,178.25,179.399994,176.880005,178.740005,15281000
2019-07-29,178.429993,179.880005,175.350006,177.020004,15130300
2019-07-30,174.25,175.710007,172.889999,174.100006,14300600
2019-07-31,173.710007,174.889999,170.089996,173.110001,14628900
2019-08-01,174.539993,175.714996,162.100006,165.649994,32728200
2019-08-02,162.559998,163.850006,160.350006,161.0,27104700
2019-08-05,155.029999,157.229996,151.850006,153.669998,28912600
2019-08-06,158.479996,158.729996,156.110001,157.429993,24996300
2019-08-07,155.729996,159.479996,155.300003,159.169998,17917400
2019-08-08,161.710007,162.300003,159.119995,162.220001,19267700
2019-08-09,160.979996,161.990005,159.110001,159.119995,11894300
2019-08-12,157.5,159.380005,155.539993,159.309998,14424400
2019-08-13,160.639999,167.360001,159.570007,164.029999,22842900
2019-08-14,161.339996,163.0,159.210007,162.059998,20803700
2019-08-15,170.110001,171.0,164.360001,166.970001,36343500
2019-08-16,170.0,177.550003,168.570007,174.600006,25952500
2019-08-19,177.429993,178.800003,175.589996,178.279999,16012800
2019-08-20,175.910004,177.990005,175.619995,177.210007,10338100
2019-08-21,177.220001,178.5,174.889999,175.240005,10615700
2019-08-22,174.100006,174.979996,170.5,171.910004,11568900
2019-08-23,169.690002,171.490005,163.830994,164.539993,20871500
2019-08-26,166.490005,167.449997,165.529999,165.899994,8640500
2019-08-27,167.199997,168.190002,165.190002,166.199997,12777600
2019-08-28,164.639999,168.0,164.199997,167.479996,9507400
2019-08-29,171.0,173.960007,170.949997,172.809998,11565400
2019-08-30,174.350006,175.25,172.660004,175.029999,10293400
2019-09-03,173.0,174.720001,172.149994,172.410004,8499300
2019-09-04,176.259995,176.550003,173.990005,174.330002,7208900
2019-09-05,176.880005,178.949997,176.520004,178.940002,11154300
2019-09-06,179.009995,179.220001,176.210007,176.690002,8304000
2019-09-09,177.880005,177.990005,175.860001,177.779999,6931700
2019-09-10,176.279999,176.300003,172.220001,174.990005,9835000
2019-09-11,176.0,176.660004,174.149994,176.089996,7039300
2019-09-12,177.889999,180.5,177.0,178.240005,12509400
2019-09-13,179.740005,180.179993,178.610001,179.169998,9479700
2019-09-16,177.75,179.169998,175.369995,177.070007,10725100
2019-09-17,176.850006,179.119995,176.050003,179.0,7481000
2019-09-18,179.149994,180.169998,177.580002,180.0,9233300
2019-09-19,180.899994,184.130005,180.429993,180.460007,15119800
2019-09-20,182.309998,183.820007,178.839996,182.509995,24517800
2019-09-23,181.25,181.330002,176.800003,176.979996,14047400
2019-09-24,179.169998,179.490005,171.300003,171.550003,14324600
2019-09-25,172.300003,176.990005,171.720001,176.660004,11766400
2019-09-26,177.0,178.229996,174.830002,175.0,9982400
2019-09-27,176.0,176.5,163.149994,165.979996,33287500
2019-09-30,169.886993,170.199997,166.449997,167.229996,14866800
2019-10-01,168.009995,168.229996,163.639999,165.149994,14155500
2019-10-02,162.820007,166.880005,161.899994,165.770004,11526500
2019-10-03,166.649994,170.179993,165.0,169.479996,10305000
2019-10-04,169.600006,170.699997,167.559998,170.339996,8715200
2019-10-07,168.830002,172.300003,167.210007,168.320007,11993000
2019-10-08,164.300003,165.220001,161.679993,161.929993,15833100
2019-10-09,165.5,166.580002,163.419998,165.190002,10943100
2019-10-10,165.960007,168.570007,164.089996,166.070007,11462400
2019-10-11,170.770004,174.880005,169.570007,172.940002,19247400
2019-10-14,172.839996,173.339996,170.789993,171.160004,7667600
2019-10-15,172.910004,176.75,172.690002,175.289993,13753000
2019-10-16,175.800003,177.350006,174.119995,177.119995,10858700
2019-10-17,178.0,178.589996,175.229996,176.850006,8020600
2019-10-18,176.0,176.229996,169.0,169.130005,14575700
2019-10-21,172.639999,173.910004,170.869995,173.520004,8970800
2019-10-22,174.529999,175.360001,169.259995,169.889999,10867100
2019-10-23,170.449997,171.039993,168.119995,169.919998,8853700
2019-10-24,171.279999,172.75,170.210007,172.550003,7397700
2019-10-25,171.559998,175.809998,170.880005,174.309998,9891800
2019-10-28,176.5,179.639999,176.410004,178.679993,11739600
2019-10-29,177.059998,177.740005,175.440002,176.889999,8026400
2019-10-30,175.419998,177.880005,173.936005,177.529999,10213200
2019-10-31,179.160004,179.240005,175.5,176.669998,15119000
2019-11-01,179.009995,182.119995,176.059998,176.460007,28924100
2019-11-04,180.660004,182.399994,178.020004,179.690002,44541200
2019-11-05,181.419998,183.199997,180.309998,182.0,23690200
2019-11-06,183.610001,185.0,182.199997,184.160004,14834900
2019-11-07,187.070007,188.070007,184.690002,186.660004,20162600
2019-11-08,187.901993,188.279999,185.149994,187.160004,19718100
2019-11-11,184.820007,187.199997,181.369995,186.710007,20561500
2019-11-12,185.910004,187.649994,185.139999,186.970001,11797600
2019-11-13,185.470001,185.673996,181.0,182.479996,14977700
2019-11-14,182.869995,184.5,181.320999,182.800003,12712800
2019-11-15,184.0,185.600006,183.710007,185.490005,11296400
2019-11-18,186.979996,186.979996,184.160004,184.610001,11822900
2019-11-19,186.309998,186.710007,183.869995,185.25,13407200
2019-11-20,183.669998,183.699997,181.059998,182.350006,16684600
2019-11-21,181.770004,184.889999,181.600006,184.860001,10254700
2019-11-22,185.800003,186.779999,183.934998,186.779999,10541000
2019-11-25,188.320007,190.720001,187.880005,190.449997,19157700
2019-11-26,190.389999,195.0,189.039993,194.699997,51832300
2019-11-27,197.240005,200.979996,197.0,200.820007,33040500
2019-11-29,199.809998,200.429993,198.350006,200.0,18593100
2019-12-02,198.580002,198.669998,193.509995,196.309998,19357700
2019-12-03,190.970001,195.0,189.850006,194.899994,18355300
